COMPUTE_CENTROID	GM_CODE	GM_NAAM
537.4713553990462 713.9204223911265	GM0003	Appingedam
499.7098695285156 707.6447662053062	GM0005	Bedum
579.4954103711204 660.1240697389303	GM0007	Bellingwedde
513.9252185374087 703.8743490105779	GM0009	Ten Boer
549.4728370949814 714.9072946422447	GM0010	Delfzijl
494.96564136241403 689.3485131725363	GM0014	Groningen
451.40999705829273 685.3403368709372	GM0015	Grootegast
505.3998203575749 672.6040327109826	GM0017	Haren
522.8437479514495 671.1122586273513	GM0018	Hoogezand-Sappemeer
465.9724417920669 674.177957371127	GM0022	Leek
519.1505785452761 719.4798409769004	GM0024	Loppersum
452.0537289776005 670.509691318915	GM0025	Marum
296.6488151080048 473.85934241545	GM0034	Almere
563.3341207106422 635.5893539603762	GM0037	Stadskanaal
559.3206167641662 685.307218384629	GM0039	Scheemda
528.0996870485312 693.3709901555571	GM0040	Slochteren
543.2285433514542 656.8802797200352	GM0047	Veendam
580.0921069127936 625.2722679734262	GM0048	Vlagtwedde
327.97478820329474 468.5367121590475	GM0050	Zeewolde
379.6534243977341 621.0081752294037	GM0051	SkarsterlÃ¢n
566.3276393428818 670.7914973893608	GM0052	Winschoten
486.144957936351 716.0932096904554	GM0053	Winsum
385.93629537937755 655.0366290331854	GM0055	Boarnsterhim
466.3890410113987 701.7221479517457	GM0056	Zuidhorn
415.1249563007671 722.9873651536655	GM0058	Dongeradeel
431.8303071146583 687.1524543616425	GM0059	Achtkarspelen
373.0164461319278 745.2856987981039	GM0060	Ameland
357.72334843982173 702.4014803263997	GM0063	het Bildt
338.9541614591713 648.352192972713	GM0064	Bolsward
407.8543888450235 702.7947207336143	GM0065	Dantumadeel
340.60747520106565 681.4503827439218	GM0070	Franekeradeel
327.95883645281305 676.2410669690679	GM0072	Harlingen
413.9701103535254 626.5975128486388	GM0074	Heerenveen
435.9426699688495 707.4345916675696	GM0079	Kollumerland c.a.
380.80132121913897 680.1817188290428	GM0080	Leeuwarden
377.0876342333375 697.7520808441706	GM0081	Leeuwarderadeel
375.1131891613659 598.3556796207722	GM0082	Lemsterland
361.2985556224377 684.8077638120998	GM0083	Menaldumadeel
453.5638569767816 628.7128256077307	GM0085	Ooststellingwerf
427.66778062249983 645.1425732504267	GM0086	Opsterland
442.1250094125961 755.545159202621	GM0088	Schiermonnikoog
416.3868287093938 661.1232037617511	GM0090	Smallingerland
362.20568903110814 640.8291064863754	GM0091	Sneek
310.01243080958955 732.2112270794929	GM0093	Terschelling
255.79125691990595 697.1532654741322	GM0096	Vlieland
413.68290600984176 601.5794072790085	GM0098	Weststellingwerf
327.62894364369896 614.1975251921222	GM0104	Nijefurd
494.18301742329254 633.986010678981	GM0106	Assen
523.1318532743057 569.1725453525638	GM0109	Coevorden
557.4156005588733 572.2072231229986	GM0114	Emmen
489.41877627733567 564.2866623385428	GM0118	Hoogeveen
440.84744475565816 561.8166278813529	GM0119	Meppel
358.5535622960182 663.7107678963873	GM0140	Littenseradiel
513.0384331976837 470.705115778779	GM0141	Almelo
461.73162466617856 445.0887893080711	GM0144	Bathmen
526.314829465567 462.03912253432463	GM0147	Borne
454.05728367840874 511.62600488350296	GM0148	Dalfsen
445.28346867196615 451.02074721134215	GM0150	Deventer
547.3613035967529 439.5626207372446	GM0153	Enschede
528.9492324950188 422.86011162524255	GM0158	Haaksbergen
499.19532277310725 530.029150534242	GM0160	Hardenberg
481.1416915050742 479.8570854489544	GM0163	Hellendoorn
531.9021096119026 447.80750767768063	GM0164	Hengelo (O.)
401.595065966405 521.3043335302309	GM0166	Kampen
566.1115693271249 460.4887154466304	GM0168	Losser
376.93808512469496 559.8271118080835	GM0171	Noordoostpolder
551.9930294295348 461.4294120264406	GM0173	Oldenzaal
478.1790956569084 512.2938945514131	GM0175	Ommen
454.8005260243922 479.8614245962383	GM0177	Raalte
443.08151203010743 541.2241614219499	GM0180	Staphorst
530.9152403120805 486.75744392416306	GM0183	Tubbergen
354.12809300971145 548.8068824712003	GM0184	Urk
498.10634925123037 469.61465610106444	GM0189	Wierden
429.87161712093376 512.3429483559111	GM0193	Zwolle
426.4933156626857 352.2533153739382	GM0196	Rijnwaarden
501.39189362926805 365.3785940466407	GM0197	Aalten
425.4627061233683 379.4269606794918	GM0199	Angerlo
400.4689312112234 429.7722540257502	GM0200	Apeldoorn
396.3030106886103 382.48750189528215	GM0202	Arnhem
357.4112155051238 424.1533560232958	GM0203	Barneveld
451.1950236808774 358.9917498481036	GM0207	Bergh
372.93991448663854 347.72672000293943	GM0209	Beuningen
493.85826520955 415.69996467085986	GM0211	Borculo
430.8970170316983 409.77184920186716	GM0213	Brummen
320.7263988169659 366.49517224415683	GM0214	Buren
290.85118201386257 368.40498347839053	GM0216	Culemborg
433.96317297640815 368.15996791099445	GM0218	Didam
490.050882988131 354.3794433663569	GM0219	Dinxperlo
435.49564010315885 387.2373206023269	GM0221	Doesburg
462.95756373619986 372.56300287944754	GM0222	Doetinchem
353.0661333356825 350.68813449195625	GM0225	Druten
415.80864787640854 368.95307099611705	GM0226	Duiven
370.7675999803122 401.17996203986627	GM0228	Ede
510.70356635091923 403.0625392440031	GM0229	Eibergen
389.0495289930467 485.2874557449256	GM0230	Elburg
405.2952936540003 463.7601862990354	GM0232	Epe
361.33912050832146 454.04641834274366	GM0233	Ermelo
292.4343792147082 353.89417432850684	GM0236	Geldermalsen
472.09916610121945 352.7286136789229	GM0237	Gendringen
452.3169757228938 431.02962350335724	GM0239	Gorssel
508.31292768959383 394.10342730201074	GM0240	Groenlo
402.88080181162917 328.55193505323155	GM0241	Groesbeek
359.34411763704156 466.92750903169673	GM0243	Harderwijk
419.9947255703409 501.28659093266583	GM0244	Hattem
419.7559247231391 484.05851949683137	GM0246	Heerde
463.6942390199601 395.707587360457	GM0248	Hengelo (Gld.)
385.20351739618377 326.53722165754334	GM0252	Heumen
446.43046108861523 383.93253023730335	GM0256	Hummelo en Keppel
501.22415754305877 382.91703018102515	GM0260	Lichtenvoorde
474.9816220879647 425.68162076682535	GM0262	Lochem
304.19530640629705 325.9099452508554	GM0263	Maasdriel
417.6396457682954 347.88409390287126	GM0265	Millingen aan de Rijn
506.1522176781896 420.8401046308067	GM0266	Neede
333.3493187263726 434.7473622795143	GM0267	Nijkerk
387.9074624783815 341.74758122839904	GM0268	Nijmegen
402.40039418172285 496.57365523766214	GM0269	Oldebroek
348.5197105074156 442.85087336654004	GM0273	Putten
379.7235334711029 379.51023268402156	GM0274	Renkum
420.7083562757192 390.79948382768384	GM0275	Rheden
407.82563510890594 392.9385368926762	GM0277	Rozendaal
485.1815997475532 398.01285723139677	GM0278	Ruurlo
335.6160688557721 404.30244538041234	GM0279	Scherpenzeel
443.85336813549367 397.50994631248074	GM0280	Steenderen
321.0813740971312 353.0314931273514	GM0281	Tiel
405.204411797128 344.18677781612047	GM0282	Ubbergen
427.6360817985547 438.93092959272917	GM0285	Voorst
463.0387408635376 408.05070386084344	GM0286	Vorden
360.93166659767525 375.37385561542317	GM0289	Wageningen
454.7491082362485 417.2853712838105	GM0291	Warnsveld
444.139680413006 373.0860500395836	GM0292	Wehl
408.51589481195936 371.6797491889066	GM0293	Westervoort
525.1692952998422 376.29135618202633	GM0294	Winterswijk
480.4038240648925 366.47552758691154	GM0295	Wisch
367.04304824497206 336.15662020684914	GM0296	Wijchen
282.76045680653544 329.99804827085177	GM0297	Zaltbommel
471.6474706744311 384.06160211564185	GM0298	Zelhem
426.074818928385 364.18072826282105	GM0299	Zevenaar
444.6324580905042 416.4102768563646	GM0301	Zutphen
379.43160171412444 466.97208542581643	GM0302	Nunspeet
366.230365386479 507.72491294368973	GM0303	Dronten
302.02518630978426 340.7522236814539	GM0304	Neerijnen
255.30978850059094 448.27841101580026	GM0305	Abcoude
330.86474355708276 384.28371170772226	GM0306	Amerongen
317.82892375576296 425.39976415772645	GM0307	Amersfoort
299.25317906815195 432.9640434519384	GM0308	Baarn
285.429025875777 417.46426903062047	GM0310	De Bilt
254.8764607878029 423.93070990632054	GM0311	Breukelen
291.8828291351143 392.2208845089712	GM0312	Bunnik
313.7131426800391 441.6735785437165	GM0313	Bunschoten
311.2852371254046 391.2987219260164	GM0315	Doorn
302.5778009227326 394.4259823416092	GM0316	Driebergen-Rijsenburg
301.68690280563163 444.49778577048556	GM0317	Eemnes
286.456623132191 383.0087240099716	GM0321	Houten
325.27198661581554 387.7196179565602	GM0326	Leersum
322.73088293045515 412.5516397615327	GM0327	Leusden
261.7831448386297 439.0098647461222	GM0329	Loenen
249.95201176881775 378.4797718050504	GM0331	Lopik
318.19410658307584 396.77079554583554	GM0332	Maarn
268.4112534448323 419.0932521227572	GM0333	Maarssen
249.8101477199506 394.08162795441666	GM0335	Montfoort
340.8948642749798 399.29751541862055	GM0339	Renswoude
345.17682990809396 377.1126241708613	GM0340	Rhenen
304.2067378209992 421.0532683780484	GM0342	Soest
270.02047004648824 404.86811283035536	GM0344	Utrecht
344.1948546897485 387.86623377229995	GM0345	Veenendaal
324.2604088583687 402.2601551555469	GM0351	Woudenberg
308.6051759464627 379.27313231951575	GM0352	Wijk bij Duurstede
262.872167464424 388.99157530429176	GM0353	IJsselstein
297.85598281570014 407.46677050785445	GM0355	Zeist
273.0400118626763 389.76035970365126	GM0356	Nieuwegein
221.0944732745175 446.8779815949244	GM0358	Aalsmeer
221.52292597829393 542.1021218175598	GM0361	Alkmaar
235.96064309431586 454.6521899158896	GM0362	Amstelveen
241.92177595059286 475.5345227089488	GM0363	Amsterdam
292.2794782539062 565.8499387118252	GM0364	Andijk
230.8059391554866 520.3672496361105	GM0365	Graft-De Rijp
235.4852443020857 596.3204315360656	GM0366	Anna Paulowna
246.46084054929693 521.7730569476153	GM0370	Beemster
197.26583486911986 463.0341921954373	GM0372	Bennebroek
209.12025022181604 548.412495678061	GM0373	Bergen (NH.)
206.15558609226176 503.65665709297406	GM0375	Beverwijk
298.3552828819745 451.79960921757083	GM0376	Blaricum
195.36329186426332 478.8670111295534	GM0377	Bloemendaal
284.08476526179044 449.6383680493157	GM0381	Bussum
210.744095688895 521.8892306914818	GM0383	Castricum
256.81769581137513 466.34414402652845	GM0384	Diemen
265.78019218317263 508.2231899122711	GM0385	Edam-Volendam
300.8531795672556 561.3553783747517	GM0388	Enkhuizen
204.89261467242218 478.5363223687545	GM0392	Haarlem
214.91407864901785 483.23395793208925	GM0393	Haarlemmerliede c.a.
210.2139305399476 456.8681895119514	GM0394	Haarlemmermeer
223.91618481250603 566.5665501507956	GM0395	Harenkarspel
205.31249160964077 510.67813928038845	GM0396	Heemskerk
199.889784000986 468.89981591571654	GM0397	Heemstede
235.6262154099761 551.5213848192809	GM0398	Heerhugowaard
214.76535337788852 532.5820338455267	GM0399	Heiloo
222.385304744099 613.3272732592998	GM0400	Den Helder
284.51635182298327 437.88483179120135	GM0402	Hilversum
269.82145062703876 545.9671560847305	GM0405	Hoorn
294.3818115305575 455.18098926327	GM0406	Huizen
241.0710142474042 572.4374195345966	GM0412	Niedorp
247.44271704354568 494.9668822063118	GM0415	Landsmeer
227.24905556427956 555.328707717086	GM0416	Langedijk
292.0624616205989 443.85386072884097	GM0417	Laren
274.6689013780804 571.3156881713383	GM0420	Medemblik
270.3768839302363 463.6029765765354	GM0424	Muiden
282.19727692424283 456.7519930351189	GM0425	Naarden
243.98852374854087 549.0538461517039	GM0429	Obdam
240.03229643178162 495.3673149755606	GM0431	Oostzaan
252.25032346573244 561.2209900981644	GM0432	Opmeer
245.497726206901 454.838266083002	GM0437	Ouder-Amstel
254.63820992877646 507.81933693166485	GM0439	Purmerend
228.39868940381578 579.3115904986932	GM0441	Schagen
230.40418760239857 652.1618696051238	GM0448	Texel
217.638597859452 513.418103943822	GM0450	Uitgeest
226.57800798414303 441.62463194816576	GM0451	Uithoorn
202.53414547070994 494.96621501789656	GM0453	Velsen
286.08497168518994 545.4899634562978	GM0454	Venhuizen
268.02134995121116 457.3746976543823	GM0457	Weesp
232.38730929573296 532.7657038808276	GM0458	Schermer
280.348335494391 561.7648562712939	GM0459	Wervershoof
257.20435177624915 610.844681628728	GM0462	Wieringen
260.4850678285733 589.942341951129	GM0463	Wieringermeer
264.1746823364897 553.5861808333658	GM0466	Wognum
188.88181941360372 472.29634240410655	GM0473	Zandvoort
218.31543999575322 585.4300283181553	GM0476	Zijpe
260.42684092065065 521.5274980829766	GM0478	Zeevang
224.29273533576668 498.24733135953863	GM0479	Zaanstad
215.52872318049566 426.9122155908245	GM0480	Ter Aar
206.40953807429798 348.5896691883072	GM0482	Alblasserdam
195.97407559437258 431.30375181185144	GM0483	Alkemade
210.39708261589988 415.0924154402989	GM0484	Alphen aan den Rijn
184.61120910357923 345.44696305719856	GM0489	Barendrecht
220.54729245219713 367.9431515331179	GM0491	Bergambacht
182.80735032856134 378.2782881484116	GM0492	Bergschenhoek
176.33374961265605 382.9403432975746	GM0493	Berkel en Rodenrijs
186.52467232713147 388.3191326702462	GM0495	Bleiswijk
223.69607285838708 404.48923588778734	GM0497	Bodegraven
281.7573350052996 552.1823511080688	GM0498	Drechterland
207.70993978573432 402.87705828916	GM0499	Boskoop
131.91434015663046 355.6174701936228	GM0501	Brielle
193.2928259196492 366.3532870995756	GM0502	Capelle aan den IJssel
159.95496172153875 382.65607359726306	GM0503	Delft
115.06597176684114 321.38335988410324	GM0504	Dirksland
212.97787776162792 327.86826896223187	GM0505	Dordrecht
97.9530540901496 335.8907131489316	GM0511	Goedereede
254.6094370212393 341.6794962727566	GM0512	Gorinchem
213.027036772255 386.25532722833714	GM0513	Gouda
196.78369388449178 325.1941249176332	GM0517	's-Gravendeel
150.60315959754422 400.286179142642	GM0518	's-Gravenhage
235.22529160993074 340.35030876285595	GM0523	Hardinxveld-Giessendam
267.7341543031097 563.5879010682987	GM0529	Noorder-Koggenland
124.46228232171889 345.1947652569379	GM0530	Hellevoetsluis
202.15381348009007 342.93862228492355	GM0531	Hendrik-Ido-Ambacht
293.5722386364511 557.4416793258702	GM0532	Stede Broec
193.86084175390008 456.93114717132653	GM0534	Hillegom
167.74516432441993 431.78623737712405	GM0537	Katwijk
196.64004210443528 361.2424400450191	GM0542	Krimpen aan den IJssel
271.53553317745883 357.7317301504409	GM0545	Leerdam
